,name,xP,bps,creativity,ict_index,influence,opponent_team,threat,total_points,was_home
11021,Adrián Bernabé,0.5,0,0.0,0.0,0.0,6,0.0,0,1
11022,Adrián Bernabé,0.5,0,0.0,0.0,0.0,2,0.0,0,1
11023,Naby Keita,0.0,0,0.0,0.0,0.0,13,0.0,0,1
11024,Naby Keita,0.0,0,0.0,0.0,0.0,4,0.0,0,1
11027,Max Meyer,0.0,0,0.0,0.0,0.0,12,0.0,0,0
11028,Hakim Ziyech,2.6,3,15.3,6.5,6.0,8,44.0,2,0
11029,Hakim Ziyech,2.6,3,0.1,2.2,4.8,9,17.0,0,0
11032,Kyle Edwards,-1.0,0,0.0,0.0,0.0,20,0.0,0,0
11033,Kyle Edwards,-1.0,0,0.0,0.0,0.0,19,0.0,0,0
11036,Ibrahima Diallo,1.5,9,3.2,1.9,6.2,1,10.0,2,1
11037,Felipe Anderson Pereira Gomes,0.0,0,0.0,0.0,0.0,6,0.0,0,0
11038,Raheem Sterling,6.7,38,20.8,18.1,55.0,18,105.0,11,0
11039,Juan Mata,0.5,0,0.0,0.0,0.0,15,0.0,0,1
11041,Oliver Norwood,1.3,11,1.3,1.9,17.8,13,0.0,2,0
11044,Wilfried Zaha,3.2,18,8.1,7.9,36.4,19,34.0,7,1
11046,Ryan Fraser,0.2,5,25.8,4.1,3.2,10,12.0,2,1
11048,Cengiz Ünder,0.7,3,11.6,4.9,3.2,7,34.0,1,0
11049,Hélder Wander Sousa de Azevedo e Costa,0.0,0,0.0,0.0,0.0,14,0.0,0,0
11050,Jean Michaël Seri,0.0,0,0.0,0.0,0.0,3,0.0,0,0
11054,Tyler Onyango,0.7,0,0.0,0.0,0.0,9,0.0,0,1
11060,Dennis Praet,0.0,0,0.0,0.0,0.0,7,0.0,0,0
11068,Mark Noble,0.5,3,0.1,0.0,0.2,6,0.0,1,0
11069,Bernardo Mota Veiga de Carvalho e Silva,5.1,19,26.3,5.7,20.8,18,10.0,4,0
11070,Jordan Henderson,1.9,14,1.5,1.4,12.0,17,0.0,2,0
11071,Curtis Jones,1.5,3,1.3,0.4,2.6,17,0.0,1,0
11074,Matt Ritchie,1.0,0,0.0,0.0,0.0,10,0.0,0,1
11079,Teddy Jenks,0.5,0,0.0,0.0,0.0,8,0.0,0,1
11081,Jakub Moder,0.5,0,0.0,0.0,0.0,8,0.0,0,1
11085,Ivan Ricardo Neves Abreu Cavaleiro,3.3,4,12.7,5.4,5.0,3,36.0,3,0
11087,Jesse Lingard,0.5,0,0.0,0.0,0.0,15,0.0,0,1
11088,Robbie Brady,1.3,5,1.7,2.7,2.6,2,23.0,1,1
11093,Jeff Hendrick,1.2,11,11.8,2.0,8.2,10,0.0,2,1
11097,Mace Goodridge,-0.5,0,0.0,0.0,0.0,2,0.0,0,1
11098,Youri Tielemans,8.5,33,28.9,10.2,51.8,7,21.0,10,0
11099,Oliver Burke,1.7,20,0.0,6.7,32.0,13,35.0,6,0
11100,Bruno Miguel Borges Fernandes,4.9,15,37.8,9.4,18.2,15,38.0,2,1
11102,Jack Jenkins,0.0,0,0.0,0.0,0.0,14,0.0,0,0
11105,Anthony Gordon,-0.5,0,0.0,0.0,0.0,9,0.0,0,1
11111,Kevin De Bruyne,0.0,0,0.0,0.0,0.0,18,0.0,0,0
11112,Gylfi Sigurdsson,1.5,4,14.5,1.7,2.4,9,0.0,1,1
11117,Phil Foden,7.5,7,26.8,8.0,14.2,18,39.0,1,0
11118,James Garner,0.0,0,0.0,0.0,0.0,15,0.0,0,1
11119,Riyad Mahrez,4.9,43,33.2,14.2,57.0,18,52.0,12,0
11121,Jake Livermore,0.0,10,1.2,3.4,11.0,12,22.0,2,1
11124,Harrison Reed,1.5,7,1.3,1.4,12.2,3,0.0,2,0
11128,Jeffrey Schlupp,0.0,0,0.0,0.0,0.0,19,0.0,0,1
11129,Faustino Anjorin,0.5,0,0.0,0.0,0.0,20,0.0,0,1
11131,James Rodríguez,3.2,24,3.0,5.0,39.2,9,8.0,8,1
11134,Aboubakar Kamara,0.3,0,0.0,0.0,0.0,3,0.0,0,0
11137,Vitor Ferreira,0.3,0,0.0,0.0,0.0,5,0.0,0,0
11142,Gabriel Teodoro Martinelli Silva,0.7,0,0.0,0.0,0.0,16,0.0,0,0
11144,Jonjo Shelvey,1.2,15,54.4,10.1,13.8,10,33.0,2,1
11149,José Ignacio Peleteiro Romallo,0.0,0,0.0,0.0,0.0,4,0.0,0,0
11150,Kgaogelo Chauke,-0.5,0,0.0,0.0,0.0,1,0.0,0,1
11152,Jonathan Leko,0.0,0,0.0,0.0,0.0,12,0.0,0,1
11153,Solomon March,2.7,9,17.3,7.6,18.6,8,40.0,3,1
11160,Luka Milivojevic,2.5,11,2.3,1.4,9.2,19,2.0,2,1
11167,Steven Alzate,0.5,0,0.0,0.0,0.0,8,0.0,0,1
11168,Sadio Mané,5.5,41,20.3,18.3,62.2,17,100.0,15,0
11172,Josh Sims,0.0,0,0.0,0.0,0.0,1,0.0,0,1
11173,Facundo Pellistri,0.0,0,0.0,0.0,0.0,15,0.0,0,1
11177,Nicolas Pépé,2.3,20,3.1,7.7,44.4,16,29.0,6,0
11178,Bertrand Traoré,5.5,1,13.8,5.9,0.0,4,47.0,2,0
11179,Sam Field,-1.5,0,0.0,0.0,0.0,12,0.0,0,1
11180,Stefan Johansen,0.0,0,0.0,0.0,0.0,3,0.0,0,0
11181,Josh Benson,-0.5,0,0.0,0.0,0.0,2,0.0,0,1
11183,William Smallbone,0.0,0,0.0,0.0,0.0,1,0.0,0,1
11184,Granit Xhaka,4.0,31,29.6,5.9,29.0,16,0.0,5,0
11187,Jacob Ramsey,1.3,0,0.0,0.0,0.0,4,0.0,0,0
11189,Georginio Wijnaldum,2.5,16,5.1,1.4,7.8,17,1.0,2,0
11190,Adam Lallana,0.3,0,0.0,0.0,0.0,8,0.0,0,1
11192,Josh Onomah,0.0,0,0.0,0.0,0.0,3,0.0,0,0
11193,Pablo Hernández Domínguez,0.7,0,0.0,0.0,0.0,14,0.0,0,0
11194,Bukayo Saka,8.7,39,26.8,9.9,53.6,16,19.0,13,0
