,name,xP,bps,creativity,ict_index,influence,opponent_team,threat,total_points,was_home,GW,Shots on target 
11776,Danny Welbeck,0,0,0,0,0,17,0,0,1,,
11777,Edward Nketiah,0.4,3,0,0,0,13,0,1,1,,
11779,Timo Werner,2.2,4,23.7,8.8,17,4,47,2,1,,
11784,Ollie Watkins,4,-3,3.4,8.8,16.6,16,68,2,0,,
11787,Roberto Firmino,4.2,15,13.5,3.5,19.6,19,2,4,0,,
11861,Che Adams,1.2,-3,11.5,7.2,7.6,2,53,1,1,,
11862,Hal Robson-Kanu,0.4,0,0,0,0,8,0,0,1,,
11863,Andi Zeqiri,-0.3,0,0,0,0,17,0,0,1,,
11866,Carlos Vinicius Alves Morais,1.3,5,11.6,8.1,11,3,58,1,0,,
11874,Christian Benteke,2.2,0,0,0,0,20,0,0,1,,
11889,Cheikh Diaby,0,0,0,0,0,8,0,0,1,,
11918,Charlie Austin,0,0,0,0,0,8,0,0,1,,
11921,Ashley Barnes,0.8,0,0,0,0,5,0,0,0,,
11952,Albian Ajeti,0,0,0,0,0,11,0,0,1,,
11965,Danny Ings,3.2,11,26,7,8.8,2,35,2,1,,
11973,Bobby Decordova-Reid,2.4,25,12.3,7.7,33.8,18,31,7,0,,
11981,Michy Batshuayi,1.8,0,24.3,4.7,3,20,20,2,1,,
11982,Ademipo Odubeko,-1,0,0,0,0,11,0,0,1,,
12001,Harry Kane,0,0,0,0,0,3,0,0,0,,
12007,Edinson Cavani,2.6,-3,15.1,2.7,0,1,15,2,0,,
12019,Florin Andone,0,0,0,0,0,17,0,0,1,,
12028,Fabio Silva,2.2,3,0,0.2,0.2,6,2,1,0,,
12035,Chris Wood,2.2,3,1.8,0.5,0,5,4,2,0,,
12050,Connor Wickham,0,0,0,0,0,20,0,0,1,,
12053,Glenn Murray,0,0,0,0,0,17,0,0,1,,
12063,Patrick Cutrone,0.5,0,0,0,0,6,0,0,0,,
12066,Mbwana Samatta,0,0,0,0,0,16,0,0,0,,
12072,Lys Mousset,-0.6,0,0,0,0,12,0,0,0,,
12080,Joel Mumbongo,-0.8,1,1.2,0.1,0,5,0,1,0,,
12087,Max Thompson,-1,0,0,0,0,5,0,0,0,,
12092,Michael Obafemi,0,0,0,0,0,2,0,0,1,,
