,name,xP,bps,creativity,ict_index,influence,opponent_team,threat,total_points,was_home
593,Fikayo Tomori,-0.5,8,0.1,2.7,26.6,11,0.0,0,1
594,Filip Benkovic,0.0,0,0.0,0.0,0.0,4,0.0,0,1
595,Florian Lejeune,0.0,0,0.0,0.0,0.0,3,0.0,0,1
600,Frédéric Guilbert,-0.5,0,0.0,0.0,0.0,15,0.0,0,1
603,Gabriel Magalhães,9.0,15,0.7,3.5,32.6,19,2.0,2,1
604,Gary Cahill,0.0,0,0.0,0.0,0.0,13,0.0,0,0
606,George Baldock,2.0,8,3.8,2.4,18.4,2,2.0,2,0
618,Harry Maguire,0.5,14,4.6,2.3,14.8,6,4.0,0,1
626,Héctor Bellerín,4.0,10,6.9,1.7,7.6,19,2.0,2,1
633,Issa Diop,0.5,10,0.3,1.7,16.8,1,0.0,1,0
638,Jack O'Connell,2.0,11,0.2,2.1,21.0,2,0.0,2,0
639,Jack Robinson,0.5,0,0.0,0.0,0.0,2,0.0,0,0
640,Jack Stephens,0.0,11,0.8,1.1,10.4,17,0.0,-1,1
645,Jake Vokins,-0.5,0,0.0,0.0,0.0,17,0.0,0,1
646,Jamaal Lascelles,3.5,6,0.7,1.3,8.0,3,4.0,0,1
647,Jamal Lewis,4.0,3,1.2,0.3,2.0,3,0.0,0,1
648,James Bree,0.0,0,0.0,0.0,0.0,15,0.0,0,1
650,James Justin,8.5,28,19.7,9.2,41.6,4,31.0,7,1
656,James Tarkowski,-0.4,0,0.0,0.0,0.0,9,0.0,0,0
657,James Tomkins,0.0,0,0.0,0.0,0.0,13,0.0,0,0
661,Jannik Vestergaard,0.0,0,0.0,0.0,0.0,17,0.0,0,1
662,Jan Bednarek,0.0,13,1.5,1.4,12.4,17,0.0,0,1
663,Japhet Tanganga,0.0,0,0.0,0.0,0.0,16,0.0,0,0
664,Jarrad Branthwaite,0.0,0,0.0,0.0,0.0,18,0.0,0,1
667,Javier Manquillo,3.5,13,3.6,1.1,7.2,3,0.0,1,1
669,Jayden Bogle,0.5,0,0.0,0.0,0.0,2,0.0,0,0
